customerID,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
8769-KKTPH,One year,Yes,Credit card (automatic),99.65,6311.2
5067-XJQFU,One year,Yes,Electronic check,108.45,7076.35
3957-SQXML,Two year,No,Credit card (automatic),24.95,894.3
5954-BDFSG,Two year,Yes,Credit card (automatic),107.5,7853.7
0434-CSFON,Month-to-month,Yes,Electronic check,100.5,4707.1
1215-FIGMP,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7
0526-SXDJP,Two year,No,Bank transfer (automatic),42.1,2962
0557-ASKVU,One year,Yes,Credit card (automatic),54.4,957.1
5698-BQJOH,Month-to-month,No,Electronic check,94.4,857.25
5122-CYFXA,Month-to-month,Yes,Electronic check,75.3,244.1
8627-ZYGSZ,One year,Yes,Electronic check,78.9,3650.35
3410-YOQBQ,Two year,No,Mailed check,79.2,2497.2
3170-NMYVV,Two year,No,Bank transfer (automatic),20.15,930.9
7410-OIEDU,Month-to-month,Yes,Mailed check,79.85,887.35
2273-QCKXA,Month-to-month,No,Mailed check,49.05,49.05
0731-EBJQB,One year,Yes,Electronic check,20.4,1090.65
1891-QRQSA,Two year,Yes,Bank transfer (automatic),111.6,7099
8028-PNXHQ,Two year,Yes,Bank transfer (automatic),24.25,1424.6
5630-AHZIL,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4
2673-CXQEU,One year,No,Electronic check,110.5,6139.5
6416-JNVRK,One year,No,Credit card (automatic),55.65,2688.85
5590-ZSKRV,Month-to-month,No,Mailed check,54.65,482.25
0191-ZHSKZ,Month-to-month,Yes,Electronic check,74.75,2111.3
3887-PBQAO,One year,Yes,Credit card (automatic),25.9,1216.6
5919-TMRGD,Month-to-month,Yes,Electronic check,79.35,79.35
8108-UXRQN,Month-to-month,No,Electronic check,50.55,565.35
9191-MYQKX,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9
9919-YLNNG,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5
0318-ZOPWS,Two year,Yes,Bank transfer (automatic),20.15,973.35
4445-ZJNMU,Month-to-month,Yes,Credit card (automatic),99.3,918.75
4808-YNLEU,One year,Yes,Bank transfer (automatic),62.15,2215.45
1862-QRWPE,Two year,No,Bank transfer (automatic),20.65,1057
2796-NNUFI,Two year,Yes,Mailed check,19.95,927.1
3016-KSVCP,Month-to-month,No,Mailed check,33.75,1009.25
4767-HZZHQ,Month-to-month,No,Bank transfer (automatic),82.05,2570.2
2424-WVHPL,Month-to-month,No,Electronic check,74.7,74.7
7233-PAHHL,Two year,Yes,Mailed check,84.0,5714.25
6067-NGCEU,Month-to-month,Yes,Credit card (automatic),111.05,7107
9848-JQJTX,Two year,Yes,Bank transfer (automatic),100.9,7459.05
8637-XJIVR,Month-to-month,Yes,Electronic check,78.95,927.35
9803-FTJCG,One year,Yes,Credit card (automatic),66.85,4748.7
0278-YXOOG,Month-to-month,No,Mailed check,21.05,113.85
3212-KXOCR,Two year,No,Bank transfer (automatic),21.0,1107.2
4598-XLKNJ,Month-to-month,Yes,Electronic check,98.5,2514.5
6380-ARCEH,Month-to-month,No,Mailed check,20.2,20.2
3679-XASPY,Month-to-month,No,Electronic check,19.45,19.45
7123-WQUHX,One year,No,Bank transfer (automatic),95.0,3605.6
5386-THSLQ,One year,No,Bank transfer (automatic),45.55,3027.25
3192-NQECA,Two year,Yes,Bank transfer (automatic),110.0,7611.85
6180-YBIQI,Month-to-month,No,Mailed check,24.3,100.2
6728-DKUCO,One year,Yes,Electronic check,104.15,7303.05
9750-BOOHV,One year,No,Mailed check,30.15,927.65
8597-CWYHH,One year,No,Mailed check,94.35,3921.3
2848-YXSMW,Two year,No,Credit card (automatic),19.4,1363.25
0486-HECZI,Month-to-month,Yes,Electronic check,96.75,5238.9
4549-ZDQYY,One year,No,Credit card (automatic),57.95,3042.25
5712-AHQNN,Month-to-month,Yes,Electronic check,91.65,3954.1
4846-WHAFZ,Month-to-month,Yes,Electronic check,76.5,2868.15
5256-SKJGO,Two year,Yes,Electronic check,54.6,3423.5
3071-VBYPO,Month-to-month,No,Electronic check,89.85,248.4
9560-BBZXK,Two year,No,Bank transfer (automatic),31.05,1126.35
5299-RULOA,Month-to-month,Yes,Electronic check,100.25,1064.65
8402-OOOHJ,Two year,No,Mailed check,20.65,835.15
9445-ZUEQE,Month-to-month,Yes,Credit card (automatic),85.2,2151.6
1091-SOZGA,One year,Yes,Credit card (automatic),99.8,5515.45
2928-HLDBA,Month-to-month,No,Mailed check,20.7,112.75
0404-SWRVG,Month-to-month,Yes,Electronic check,74.4,229.55
6497-TILVL,Month-to-month,No,Mailed check,50.7,350.35
7219-TLZHO,Month-to-month,No,Mailed check,20.85,62.9
4622-YNKIJ,Two year,Yes,Electronic check,88.95,3027.65
4412-YLTKF,Month-to-month,Yes,Electronic check,78.05,2135.5
6734-PSBAW,Two year,Yes,Bank transfer (automatic),23.55,1723.95
3930-ZGWVE,Month-to-month,No,Mailed check,19.75,19.75
2639-UGMAZ,One year,Yes,Electronic check,56.45,3985.35
2876-GZYZC,Month-to-month,Yes,Electronic check,85.95,1215.65
6207-WIOLX,Month-to-month,Yes,Credit card (automatic),58.6,1502.65
8587-XYZSF,Two year,No,Bank transfer (automatic),50.55,3260.1
3091-FYHKI,Month-to-month,Yes,Electronic check,35.45,35.45
2372-HWUHI,Month-to-month,No,Electronic check,44.35,81.25
7799-LGRDP,Two year,Yes,Credit card (automatic),25.7,1188.2
7850-VWJUU,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5
3774-VBNXY,Two year,No,Mailed check,20.2,1277.75
6217-KDYWC,Two year,Yes,Mailed check,19.6,1170.55
0390-DCFDQ,Month-to-month,Yes,Mailed check,70.45,70.45
3146-MSEGF,Two year,Yes,Credit card (automatic),88.05,6425.65
4080-OGPJL,Month-to-month,No,Electronic check,71.15,563.65
1095-WGNGG,Two year,Yes,Bank transfer (automatic),101.05,5971.25
2636-SJDOU,One year,Yes,Credit card (automatic),84.3,5289.05
1131-QQZEB,Two year,No,Bank transfer (automatic),23.95,1756.2
5716-EZXZN,Two year,Yes,Credit card (automatic),99.05,6416.7
6837-BJYDQ,One year,No,Mailed check,19.6,61.35
2135-RXIHG,Month-to-month,Yes,Electronic check,45.65,45.65
6440-DKQGE,One year,No,Credit card (automatic),64.5,1929.95
3466-BYAVD,Month-to-month,Yes,Mailed check,69.5,1071.4
3780-YVMFA,Month-to-month,Yes,Electronic check,68.55,564.35
3874-EQOEP,Month-to-month,No,Mailed check,95.0,655.5
1679-JRFBR,One year,Yes,Credit card (automatic),108.15,7930.55
9073-ZZIAY,Two year,No,Electronic check,86.1,5215.25
3077-RSNTJ,Month-to-month,No,Mailed check,19.7,113.5
6551-GNYDG,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8
9167-APMXZ,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95
2749-CTKAJ,One year,No,Mailed check,20.15,419.9
6371-NZYEG,Two year,No,Mailed check,64.25,1024
7554-NEWDD,Two year,No,Bank transfer (automatic),25.7,251.6
8992-VONJD,Month-to-month,Yes,Electronic check,56.0,764.55
0867-MKZVY,Month-to-month,No,Electronic check,82.4,1592.35
4482-EWFMI,Month-to-month,Yes,Electronic check,69.7,135.2
4648-YPBTM,Two year,Yes,Bank transfer (automatic),73.9,3958.25
2907-ILJBN,One year,No,Mailed check,20.6,233.9
6345-FZOQH,Two year,No,Mailed check,19.9,1363.45
3376-BMGFE,Month-to-month,Yes,Bank transfer (automatic),70.9,273
5997-OPVFA,Two year,Yes,Bank transfer (automatic),89.05,6254.45
3445-HXXGF,Month-to-month,Yes,Electronic check,45.3,2651.2
1159-WFSGR,Month-to-month,No,Electronic check,20.4,321.4
7654-YWJUF,One year,Yes,Bank transfer (automatic),84.25,3539.25
1875-QIVME,Month-to-month,Yes,Electronic check,104.4,242.8
6727-IOTLZ,Two year,No,Mailed check,81.95,1181.75
0691-JVSYA,One year,Yes,Bank transfer (automatic),94.85,5000.2
5918-VUKWP,One year,No,Bank transfer (automatic),20.55,654.55
1744-JHKYS,Month-to-month,No,Electronic check,24.7,780.2
2656-FMOKZ,Month-to-month,Yes,Mailed check,74.45,1145.7
2070-FNEXE,Month-to-month,No,Bank transfer (automatic),76.45,503.6
5947-SGKCL,Month-to-month,Yes,Bank transfer (automatic),105.35,1559.25
3712-PKXZA,One year,Yes,Credit card (automatic),20.55,1252
6317-YPKDH,Month-to-month,No,Bank transfer (automatic),29.95,29.95
6582-OIVSP,Month-to-month,No,Mailed check,45.3,45.3
9367-WXLCH,Month-to-month,No,Bank transfer (automatic),84.5,662.65
5524-KHNJP,One year,No,Credit card (automatic),74.75,2453.3
1918-ZBFQJ,Month-to-month,Yes,Electronic check,79.25,1111.65
1024-GUALD,Month-to-month,Yes,Electronic check,24.8,24.8
4827-USJHP,Month-to-month,Yes,Mailed check,51.8,1023.85
8167-GJLRN,Month-to-month,No,Electronic check,30.4,82.15
0956-SYCWG,One year,No,Electronic check,19.65,244.8
8017-UVSZU,Month-to-month,No,Credit card (automatic),56.6,2379.1
7100-FQPRV,One year,Yes,Credit card (automatic),71.9,3173.35
2472-OVKUP,Month-to-month,Yes,Electronic check,91.0,531
2984-RGEYA,Two year,No,Bank transfer (automatic),19.75,1375.4
9680-NIAUV,Two year,No,Credit card (automatic),109.7,8129.3
2146-EGVDT,Two year,No,Credit card (automatic),19.3,1192.7
2604-IJPDU,Month-to-month,Yes,Electronic check,96.55,1901.65
9178-JHUVJ,Two year,Yes,Bank transfer (automatic),24.1,587.4
6168-YBYNP,Month-to-month,Yes,Electronic check,111.35,6519.75
7255-SSFBC,Two year,Yes,Bank transfer (automatic),112.25,8041.65
3645-DEYGF,Month-to-month,No,Mailed check,20.75,20.75
9323-HGFWY,One year,Yes,Credit card (automatic),101.9,2681.15
8544-GOQSH,Month-to-month,Yes,Credit card (automatic),80.05,1112.3
3363-DTIVD,Two year,No,Electronic check,105.55,7405.5
7018-WBJNK,Month-to-month,Yes,Credit card (automatic),78.3,1033.95
9142-KZXOP,Month-to-month,No,Credit card (automatic),68.85,2958.95
7674-YTAFD,One year,Yes,Bank transfer (automatic),79.95,2684.85
6348-SNFUS,Two year,Yes,Credit card (automatic),55.45,4179.2
1285-OKIPP,Month-to-month,No,Electronic check,79.9,79.9
7825-ECJRF,Month-to-month,Yes,Electronic check,106.6,1934.45
1347-KTTTA,One year,Yes,Credit card (automatic),102.45,6654.1
7841-TZDMQ,Month-to-month,Yes,Credit card (automatic),46.0,84.5
4195-NZGTA,Month-to-month,No,Electronic check,25.25,25.25
7157-SMCFK,Two year,No,Mailed check,19.75,1124.2
4709-LKHYG,One year,No,Electronic check,20.0,540.05
2504-DSHIH,Month-to-month,No,Electronic check,86.8,1975.85
0699-NDKJM,Month-to-month,Yes,Bank transfer (automatic),58.75,3437.45
9286-BHDQG,Two year,No,Credit card (automatic),45.25,3139.8
0230-WEQUW,Two year,Yes,Bank transfer (automatic),56.6,3789.2
2040-LDIWQ,Two year,Yes,Bank transfer (automatic),84.2,5324.5
6496-JDSSB,Month-to-month,Yes,Bank transfer (automatic),80.0,624.6
9408-SSNVZ,Month-to-month,Yes,Electronic check,70.15,268.35
4443-EMBNA,Two year,No,Bank transfer (automatic),24.75,1836.9
6469-MRVET,One year,Yes,Electronic check,20.2,20.2
0742-MOABM,Month-to-month,No,Mailed check,50.05,179.35
5961-VUSRV,One year,Yes,Bank transfer (automatic),19.35,219.35
6778-JFCMK,One year,Yes,Mailed check,50.6,1288.75
6341-JVQGF,One year,Yes,Mailed check,81.15,2545.75
2232-DMLXU,Month-to-month,No,Mailed check,55.2,55.2
4811-JBUVU,Month-to-month,Yes,Credit card (automatic),89.9,2723.15
0945-TSONX,Two year,Yes,Credit card (automatic),85.3,4107.25
2651-ZCBXV,Two year,Yes,Credit card (automatic),108.0,5760.65
3316-UWXUY,Month-to-month,Yes,Credit card (automatic),93.5,4747.5
8937-RDTHP,Month-to-month,Yes,Mailed check,84.6,84.6
7083-MIOPC,Two year,No,Credit card (automatic),20.25,1566.9
1984-GPTEH,Month-to-month,No,Electronic check,25.15,702
1251-KRREG,Month-to-month,Yes,Mailed check,54.4,114.1
0621-JFHOL,Two year,Yes,Mailed check,29.6,299.05
9903-LYSAB,Month-to-month,Yes,Electronic check,73.15,1305.95
0094-OIFMO,Month-to-month,Yes,Electronic check,95.0,1120.3
9227-UAQFT,Two year,No,Mailed check,19.75,284.35
7301-ABVAD,Two year,No,Bank transfer (automatic),86.6,6350.5
6614-FHDBO,Two year,No,Bank transfer (automatic),109.2,7878.3
7576-ASEJU,One year,Yes,Credit card (automatic),74.7,3187.65
9058-HRZSV,Month-to-month,No,Electronic check,94.4,6126.15
4522-AKYLR,Month-to-month,Yes,Electronic check,54.8,731.3
0221-WMXNQ,Month-to-month,No,Electronic check,75.35,273.4
0303-UNCIP,One year,No,Mailed check,65.0,2531.8
9947-OTFQU,Month-to-month,Yes,Electronic check,74.4,1074.3
0322-YINQP,Month-to-month,Yes,Mailed check,48.55,48.55
0959-WHOKV,One year,Yes,Electronic check,99.0,4298.45
4075-JFPGR,One year,Yes,Electronic check,93.5,4619.55
4629-NRXKX,Month-to-month,No,Electronic check,70.4,147.15
9514-JDSKI,Month-to-month,No,Electronic check,40.2,40.2
3282-ZISZV,One year,No,Credit card (automatic),83.7,2633.3
3675-YDUPJ,Month-to-month,Yes,Mailed check,19.85,193.05
4111-BNXIF,Two year,Yes,Electronic check,59.55,4103.9
7017-VFHAY,Two year,No,Credit card (automatic),115.1,7008.15
6655-LHBYW,One year,No,Credit card (automatic),114.35,5791.1
4959-JOSRX,Month-to-month,Yes,Credit card (automatic),44.6,80.55
5046-NUHWD,Month-to-month,Yes,Electronic check,45.0,1228.65
7273-TEFQD,Month-to-month,Yes,Electronic check,41.15,132.2
3606-TWKGI,Month-to-month,Yes,Electronic check,106.9,1364.3
7529-ZDFXI,Month-to-month,Yes,Electronic check,89.85,4925.35
7605-BDWDC,Two year,Yes,Bank transfer (automatic),49.85,1520.1
1950-KSVVJ,One year,No,Mailed check,113.3,5032.25
0123-CRBRT,Two year,No,Mailed check,88.1,5526.75
6292-TOSSS,Two year,No,Bank transfer (automatic),24.9,1195.25
3197-ARFOY,Month-to-month,Yes,Mailed check,105.0,2007.25
6323-AYBRX,Two year,No,Mailed check,19.35,1099.6
7014-ZZXAW,Two year,Yes,Credit card (automatic),24.25,1732.95
4385-GZQXV,Month-to-month,Yes,Electronic check,94.45,1511.2
7633-MVPUY,Two year,Yes,Electronic check,59.75,3450.15
6366-ZGQGL,Month-to-month,No,Bank transfer (automatic),24.8,24.8
4716-HHKQH,Month-to-month,No,Electronic check,107.05,2172.05
5940-AHUHD,Month-to-month,No,Mailed check,70.6,70.6
6432-TWQLB,Month-to-month,Yes,Electronic check,85.4,401.1
4484-GLZOU,Month-to-month,Yes,Electronic check,105.05,5624.85
3179-GBRWV,Month-to-month,Yes,Bank transfer (automatic),64.95,1339.8
8645-KWHJO,Month-to-month,Yes,Electronic check,55.0,771.95
4130-MZLCC,Month-to-month,No,Bank transfer (automatic),50.55,244.75
0314-TKOSI,Month-to-month,No,Mailed check,55.15,322.9
8229-MYEJZ,Month-to-month,No,Electronic check,51.2,498.25
2080-SRCDE,Month-to-month,No,Mailed check,25.4,25.4
9577-WJVCQ,Month-to-month,No,Mailed check,54.45,3687.75
9512-UIBFX,Month-to-month,No,Mailed check,95.15,1779.95
6202-DYYFX,One year,Yes,Credit card (automatic),76.0,1783.6
3808-HFKDE,Month-to-month,Yes,Electronic check,44.35,927.15
5583-SXDAG,Month-to-month,No,Electronic check,70.0,70
3488-PGMQJ,Month-to-month,Yes,Electronic check,74.5,606.55
3580-REOAC,Month-to-month,Yes,Credit card (automatic),44.85,435.4
7534-BFESC,Month-to-month,Yes,Electronic check,76.1,1712.7
3727-OWVYD,One year,No,Mailed check,61.2,2021.2
2294-SALNE,One year,No,Mailed check,86.8,1940.8
4847-TAJYI,Month-to-month,Yes,Electronic check,89.35,567.8
1563-IWQEX,Month-to-month,No,Mailed check,19.7,220.35
8203-XJZRC,Month-to-month,No,Mailed check,20.25,20.25
6556-DBKZF,Two year,No,Electronic check,76.05,5436.45
6851-WEFYX,Month-to-month,Yes,Electronic check,100.8,3437.5
2985-JUUBZ,Month-to-month,Yes,Electronic check,74.55,3015.75
6390-DSAZX,Month-to-month,Yes,Mailed check,73.6,73.6
0895-LMRSF,One year,Yes,Bank transfer (automatic),64.9,1509.8
8098-LLAZX,Month-to-month,Yes,Electronic check,95.45,396.1
8266-VBFQL,Month-to-month,Yes,Electronic check,90.4,356.65
8181-YHCMF,Two year,No,Credit card (automatic),60.3,4109
2240-HSJQD,Month-to-month,Yes,Mailed check,81.85,3141.7
1248-DYXUB,Two year,No,Mailed check,24.8,1229.1
0265-EDXBD,Month-to-month,Yes,Electronic check,74.9,2303.35
4115-BNPJY,Two year,No,Mailed check,75.55,2054.4
3167-SNQPL,Month-to-month,No,Electronic check,101.15,3741.85
4091-TVOCN,One year,Yes,Credit card (automatic),78.75,3682.45
1098-TDVUQ,Month-to-month,Yes,Bank transfer (automatic),19.25,19.25
7277-OZCGZ,Month-to-month,Yes,Electronic check,89.05,1886.25
1557-EMYVT,Two year,No,Credit card (automatic),115.05,4895.1
2799-ARNLO,Month-to-month,Yes,Electronic check,69.35,341.6
7563-BIUPC,Month-to-month,Yes,Electronic check,80.6,415.55
5027-YOCXN,One year,No,Credit card (automatic),110.05,5686.4
3973-SKMLN,Two year,Yes,Credit card (automatic),19.9,1355.1
2321-OMBXY,One year,No,Credit card (automatic),80.3,3058.65
2840-XANRC,Month-to-month,Yes,Electronic check,93.15,2231.05
6745-JEFZB,Month-to-month,Yes,Credit card (automatic),91.5,3236.35
5020-ZSTTY,One year,No,Bank transfer (automatic),82.45,4350.1
9880-TDQAC,Two year,Yes,Electronic check,60.0,4264
8705-WZCYL,Month-to-month,Yes,Electronic check,44.8,44.8
7102-JJVTX,One year,No,Mailed check,48.6,422.3
8626-PTQGE,Two year,Yes,Bank transfer (automatic),60.05,4176.7
4983-CLMLV,Month-to-month,Yes,Credit card (automatic),102.7,5138.1
5701-YVSVF,Month-to-month,Yes,Electronic check,82.9,880.05
5804-LEPIM,Month-to-month,Yes,Electronic check,70.35,139.05
5697-GOMBF,Month-to-month,Yes,Electronic check,35.9,973.65
2739-CACDQ,Month-to-month,Yes,Credit card (automatic),82.65,1470.05
9385-EHGDO,Two year,Yes,Mailed check,19.85,739.35
9498-FIMXL,One year,Yes,Mailed check,19.2,161.95
2379-GYFLQ,One year,Yes,Credit card (automatic),94.9,4422.95
0122-OAHPZ,Month-to-month,Yes,Electronic check,73.85,511.25
2868-SNELZ,Month-to-month,No,Mailed check,80.6,155.8
4322-RCYMT,One year,Yes,Bank transfer (automatic),75.8,5293.95
6680-NENYN,Two year,Yes,Electronic check,104.6,4759.85
2088-IEBAU,Two year,Yes,Electronic check,88.15,6148.45
7982-VCELR,Month-to-month,Yes,Credit card (automatic),94.8,3565.65
1343-EHPYB,Month-to-month,Yes,Electronic check,103.4,6603
6035-BXTTY,Month-to-month,No,Bank transfer (automatic),54.65,1830.1
6885-PKOAM,Two year,No,Credit card (automatic),85.75,6223.8
7520-HQWJU,Month-to-month,Yes,Bank transfer (automatic),67.45,4508.65
9639-BUJXT,One year,No,Mailed check,20.5,1328.15
5924-SNGKP,One year,Yes,Credit card (automatic),20.25,865
0021-IKXGC,Month-to-month,Yes,Electronic check,72.1,72.1
2034-GDRCN,Month-to-month,Yes,Electronic check,90.4,168.2
8966-SNIZF,Two year,No,Bank transfer (automatic),19.45,1303.5
6243-OZGFH,Month-to-month,Yes,Electronic check,44.95,996.85
4654-DLAMQ,One year,No,Bank transfer (automatic),97.0,6430.9
0513-RBGPE,Two year,Yes,Credit card (automatic),62.8,2278.75
5160-UXJED,One year,No,Mailed check,44.6,681.4
4115-NZRKS,Month-to-month,Yes,Electronic check,89.15,574.35
0219-YTZUE,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9
0623-IIHUG,Month-to-month,Yes,Electronic check,41.9,840.1
4572-DVCGN,Month-to-month,Yes,Bank transfer (automatic),80.25,846
3351-NGXYI,Month-to-month,Yes,Electronic check,54.1,889
8984-EYLLL,Two year,Yes,Electronic check,105.25,6823.4
9057-MSWCO,Month-to-month,No,Credit card (automatic),30.75,805.1
9833-TGFHX,One year,No,Electronic check,97.1,4016.75
9294-TDIPC,Month-to-month,No,Mailed check,20.2,83.75
5229-DTFYB,Two year,Yes,Bank transfer (automatic),98.8,3959.15
0104-PPXDV,One year,No,Credit card (automatic),50.3,2878.55
5176-LMJXE,Two year,Yes,Mailed check,20.55,945.7
3583-KRKMD,Month-to-month,Yes,Bank transfer (automatic),75.9,1373.05
1010-DIAUQ,Month-to-month,No,Bank transfer (automatic),96.5,492.55
9069-LGEUL,Month-to-month,Yes,Bank transfer (automatic),59.95,1406
7302-ZHMHP,Month-to-month,No,Mailed check,19.15,19.15
9571-EDEBV,One year,Yes,Credit card (automatic),98.65,6962.85
3520-FJGCV,Two year,Yes,Credit card (automatic),112.6,8126.65
6563-VRERX,One year,No,Mailed check,20.6,690.25
0259-GBZSH,Month-to-month,Yes,Electronic check,85.65,181.5
6122-EFVKN,Two year,No,Mailed check,35.75,830.8
2805-EDJPQ,One year,Yes,Credit card (automatic),99.75,5608.4
6862-CQUMB,Month-to-month,Yes,Credit card (automatic),96.1,3646.8
7156-MXBJE,One year,No,Credit card (automatic),85.1,3662.25
6158-HDPXZ,Month-to-month,No,Mailed check,25.35,25.35
9601-BRXPO,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5
2863-IMQDR,Two year,No,Electronic check,89.65,5308.7
5686-CMAWK,One year,No,Electronic check,86.75,1410.25
5651-CRHKQ,One year,Yes,Bank transfer (automatic),86.2,3339.05
6905-NIQIN,Month-to-month,No,Mailed check,50.65,50.65
8204-YJCLA,Two year,Yes,Bank transfer (automatic),64.8,4732.35
5167-ZFFMM,Month-to-month,Yes,Credit card (automatic),90.85,90.85
6583-SZVGP,Two year,Yes,Bank transfer (automatic),108.1,5067.45
4895-TMWIR,Month-to-month,No,Mailed check,19.95,214.75
0533-BNWKF,Month-to-month,Yes,Electronic check,85.45,4874.7
1708-PBBOA,One year,Yes,Electronic check,54.75,2348.45
8782-LKFPK,Month-to-month,Yes,Mailed check,90.4,4063
5522-JBWMO,Month-to-month,No,Electronic check,44.0,44
3597-MVHJT,Month-to-month,Yes,Bank transfer (automatic),95.6,2595.25
9774-NRNAU,Month-to-month,Yes,Bank transfer (automatic),84.8,2309.55
0224-RLWWD,Month-to-month,Yes,Electronic check,44.3,89.3
9967-ATRFS,Month-to-month,No,Mailed check,19.9,367.55
3951-NJCVI,Month-to-month,Yes,Electronic check,95.05,3944.5
2977-CEBSX,Two year,Yes,Credit card (automatic),90.05,5965.95
0177-PXBAT,Month-to-month,Yes,Bank transfer (automatic),109.9,3694.7
6599-CEBNN,Month-to-month,Yes,Credit card (automatic),73.95,2524.45
2519-ERQOJ,Month-to-month,Yes,Electronic check,54.6,1803.7
5876-QMYLD,One year,No,Mailed check,20.05,415.1
2277-AXSDC,One year,No,Bank transfer (automatic),19.75,624.15
9442-JTWDL,One year,No,Credit card (automatic),20.05,237.7
0979-PHULV,Month-to-month,Yes,Credit card (automatic),99.45,7007.6
3067-SVMTC,One year,No,Bank transfer (automatic),55.9,3848.8
5495-GPSRW,Two year,Yes,Mailed check,19.7,419.4
7606-BPHHN,Two year,Yes,Credit card (automatic),19.8,1468.75
4742-DRORA,One year,Yes,Bank transfer (automatic),95.4,5812
0111-KLBQG,Month-to-month,Yes,Mailed check,93.95,2861.45
4800-VHZKI,Month-to-month,Yes,Mailed check,19.9,19.9
